,Country,GDP,Armed Forces size,Gross tertiary education enrollment (%),Infant mortality,Life expectancy,Population,Physicians per thousand,Population: Labor force participation (%),Urban_population,Latitude
99,Lithuania,54219315600.0,34000.0,72.4,3.3,75.7,2786844.0,6.35,61.6,1891013.0,55.169438
100,Luxembourg,71104919108.0,2000.0,19.2,1.9,82.1,645397.0,3.01,59.3,565488.0,49.815273
101,Madagascar,14083906357.0,22000.0,5.4,38.2,66.7,26969307.0,0.18,86.1,10210849.0,-18.766947
102,Malawi,7666704427.0,15000.0,0.8,35.3,63.8,18628747.0,0.04,76.7,3199301.0,-13.254308
103,Malaysia,364701517788.0,136000.0,45.1,6.7,76.0,32447385.0,1.51,64.3,24475766.0,4.210484
104,Maldives,5729248472.0,5000.0,31.2,7.4,78.6,530953.0,4.56,69.8,213645.0,3.202778
105,Mali,17510141171.0,18000.0,4.5,62.0,58.9,19658031.0,0.13,70.8,8479688.0,17.570692
106,Malta,14786156563.0,2000.0,54.3,6.1,82.3,502653.0,2.86,56.5,475902.0,35.937496
108,Mauritania,7593752450.0,21000.0,5.0,51.5,64.7,4525696.0,0.19,45.9,2466821.0,21.00789
109,Mauritius,14180444557.0,3000.0,40.6,13.6,74.4,1265711.0,2.53,58.3,515980.0,-20.348404
110,Mexico,1258286717125.0,336000.0,40.2,11.0,75.0,126014024.0,2.38,60.7,102626859.0,23.634501
112,Moldova,11955435457.0,7000.0,39.8,13.6,71.8,2657637.0,3.21,43.1,1135502.0,47.411631
114,Mongolia,13852850259.0,18000.0,65.6,14.0,69.7,3225167.0,2.86,59.7,2210626.0,46.862496
115,Montenegro,5494736901.0,12000.0,56.1,2.3,76.8,622137.0,2.76,54.4,417765.0,42.708678
116,Morocco,118725279596.0,246000.0,35.9,19.2,76.5,36910560.0,0.73,45.3,22975026.0,31.791702
117,Mozambique,14934159926.0,11000.0,7.3,54.0,60.2,30366036.0,0.08,78.1,11092106.0,-18.665695
118,Myanmar,76085852617.0,513000.0,18.8,36.8,66.9,54045420.0,0.68,61.7,16674093.0,21.916221
119,Namibia,12366527719.0,16000.0,22.9,29.0,63.4,2494530.0,0.42,59.5,1273258.0,-22.95764
121,Nepal,30641380604.0,112000.0,12.4,26.7,70.5,28608710.0,0.75,83.8,5765513.0,28.394857
122,Netherlands,909070395161.0,41000.0,85.0,3.3,81.8,17332850.0,3.61,63.6,15924729.0,52.132633
123,New Zealand,206928765544.0,9000.0,82.0,4.7,81.9,4841000.0,3.59,69.9,4258860.0,-40.900557
